영상ID,영상제목,영상설명,게시일,태그,카테고리,썸네일,조회수,좋아요,영상길이(초),자막여부,구독자 수,채널 총 조회수,업로드된 영상 수,자막 유형,자막 파일
F0iwPnwFzDk,미용실을 운영하며 돈을 벌어야 하는 게임 (Dooms Hair Salon),"#미용실 #시뮬레이터 #장사 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : Dooms Hair Salon
※다운로드링크 : https://store.steampowered.com/app/3398870/_/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-03-30T12:22:06Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/F0iwPnwFzDk/hqdefault.jpg,500911,5717,8458.0,false,961000,654855265,1844,transcript_api,captions\F0iwPnwFzDk.txt
IDqOz8U56y4,🔆위쳐 스토리 완전판: 게임 이전 이야기,"위쳐 1,2,3 스팀링크입니다
https://store.steampowered.com/bundle/727/The_Witcher_Trilogy/

00:00 고대 종족
01:28 천구의 결합
01:59 인간의 등장
02:31 인간과 엘프의 전쟁
03:37 대륙의 왕국들
07:07 신트라
08:09 위쳐
10:54 파베타와 듀니
14:03 블라비켄의 도살자
16:09 위대한 음유시인
18:10 벤거버그의 예니퍼
21:28 스트리가로 변한 공주
25:42 멜리텔레 수도원의 마더 네네케
26:13 용 사냥
28:39 운명의 아이
32:19 닐프가드
35:25 북부 전쟁
36:17 소든 언덕 전투
37:26 스코이아'텔
38:14 운명의 아이2
39:21 케어 모헨
41:33 예니퍼와 시리
42:19 타네드 섬 사태
45:11 2차 북부 전쟁
46:56 로지 오브 소서리스(여마법사 지부)
48:57 제비의 탑
50:43 시리를 찾아서 - 게롤트
53:24 시리를 찾아서 - 예니퍼
54:43 아엔 엘르의 세계
58:21 스티가 성 전투
01:01:10 리비아 대학살

뻔튜브 멤버십 되기!
https://www.youtube.com/channel/UCkumgc-lJVeuIAb43mIAAKQ/join

#게임스토리요약
#위쳐
#세계관",2025-05-09T10:32:43Z,"게임, 스토리, 요약, 정리, 리뷰, 해석, 이야기, 설명, 해설, 분석, 떡밥, 위쳐, 소설, 원작, 배경, 설정, 내용, 넷플릭스, 드라마, netflix, 비교, 게롤트, 신트라, 미드, 예니퍼, 시리, 시릴라, 북부, 전쟁, witcher, witcher1, 트리스, 2차, 타네드, 빌게포츠, 빌제포츠, 필리파, 사태, 마지막, 유니콘, 아엔, 엘르, 제비의, 탑, 갈매기, 카히르, 스티가, 전투, 살라만드라, 도적, 아자르, 알빈, 샤니, 시작, 알데스버그, 에레딘, 화이트프로스트, 백색서리, 위쳐2, 왕들의, 암살자, 폴테스트, 죽음, 이오베스, 로치, 데머번드, 사스키아, 쉴라, 와일드, 헌트, 위쳐3, 아발라크, 최종, 대륙, 세계관, 이전, 위쳐1, 파베타, 듀니, 왕국, 닐프가드, 남부, RPG, 기반",20,https://i.ytimg.com/vi/IDqOz8U56y4/hqdefault.jpg,11848,328,3778.0,false,201000,58371509,226,transcript_api,captions\IDqOz8U56y4.txt
iOYhtN_FSNQ,[로블록스] 숨어있는 100개의 버튼 찾기!! 못 찾으면 집에 못 가요!! - 민또 경또 -,"✅민또 경또 구독하기 : https://www.youtube.com/channel/UCCW6uYIUP4YKKe50k-ktVAw?view_as=subscriber
☑️Find The Button 게임하기 : https://www.roblox.com/ko/games/103593441753340
💥로블록스 재밌는 게임들 시리즈 : https://www.youtube.com/playlist?list=PL-AahvgqNuE6aj6dKgJob4mSPvodivSWL

#Roblox #로블록스 #민또경또",2024-12-05T08:15:02Z,"로블록스 공포게임, 로블록스 탈출게임 오비, 로블록스 타이쿤 게임, 로블록스 시뮬레이터 게임, 로블록스 인기 게임, 로블록스 점프맵, 로블록스 입양하세요, 로블록스 재밌는 게임, 로블록스 로벅스 무료, 로블록스 상황극, 로블록스 경찰과 도둑, 로블록스 방구, 로블록스 레인보우 프렌즈, roblox rainbow friends blue, 로블록스 베리의 감옥 탈출, 로블록스 똥싸기, 로블록스 재밌는 게임 추천 2024, Roblox Bous Revenge HORROR, Roblox Bous, 로블록스 귀신, 딸기 경찰 가족 교도소 탈출! 오비, 로블록스 화장실 똥, Roblox Build Survive Tsunami, 로블록스 쓰나미 생존, 로블록스 건물 생존 게임, Roblox Sea Monster, 로블록스 바다 몬스터 SCP, 로블록스 SCP 엘 그란 마하, Roblox Find The Button, 로블록스 버튼을 찾으세요",20,https://i.ytimg.com/vi/iOYhtN_FSNQ/hqdefault.jpg,425132,1501,1979.0,false,605000,878459762,1668,transcript_api,captions\iOYhtN_FSNQ.txt
iBUwDe_s-aQ,"리뷰 133개중 132개가 극찬인 ""두부게임"" 다운 받아봤습니다","두부왕 박영식
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #병맛게임
[브금대통령]
Piece of Cake - https://youtu.be/P0SfHRQY1A4",2024-10-21T10:39:02Z,혜안,20,https://i.ytimg.com/vi/iBUwDe_s-aQ/hqdefault.jpg,1379700,13976,2108.0,false,2720000,2015966883,1707,transcript_api,captions\iBUwDe_s-aQ.txt
pe0lSFOXNPQ,더러운 방귀쟁이 교도관이 쫓아온다 ㅋㅋㅋㅋ 대형 감옥 탈출하기 !! 버섯도리 로블록스,"방귀를 엄청나게 뀌는 교도관이 있는 대형 감옥! 너무 더러워서 오늘 탈출하기로 했습니다 ㅋㅋㅋㅋㅋ
탈출에 성공할 수 있을까요? 
오늘도 재미있게 봐주세요~

버섯도리 Mushroom boy

#탈출게임, #로블록스, #감옥게임",2022-03-22T07:00:25Z,"감옥탈출, 대형감옥, 감옥탈출 점프맵, 로블록스 감옥탈출, 로블록스 방탈출, 방탈출 게임, 버섯도리, 로블록스, 버섯돌이, 버섯돌이 로블록스, 공포게임, 로블록스 공포게임 추천, 로블록스 추천게임, 추천게임, 버섯도리 게임, 방탈출게임, 버섯돌이tv, 로블록스 감옥탈출 점프맵, 로블록스 점프맵, 버섯도리 로블록스",20,https://i.ytimg.com/vi/pe0lSFOXNPQ/hqdefault.jpg,5016657,18327,1288.0,false,1150000,1670205678,1331,transcript_api,captions\pe0lSFOXNPQ.txt
0Q8F5HrEWw8,수박(근데 이제 머리가 깨진) 게임,"수박(의 머리가 깨진) 게임 Watermelon (with a Broken Head) Game
우주하마 UZUHAMA",2025-04-06T02:30:00Z,"병맛게임, 공포게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/0Q8F5HrEWw8/hqdefault.jpg,460413,5769,1354.0,false,2100000,1883803096,2938,transcript_api,captions\0Q8F5HrEWw8.txt
1pQGh1Hes5Y,중독성 쩌는 구멍 파는 게임,"어 게임 어바웃 디깅 어 홀 A Game About Digging A Hole
우주하마 UZUHAMA",2025-02-20T02:30:01Z,"병맛게임, 공포게임, ㅋㅋㅋㅋ, uzuhama",20,https://i.ytimg.com/vi/1pQGh1Hes5Y/hqdefault.jpg,1060642,10506,1455.0,false,2100000,1883803096,2938,transcript_api,captions\1pQGh1Hes5Y.txt
kgfeh4ri06I,방구석에서 해외여행을 체험하는 실제같은 게임 (Lushfoil Photography Sim),"#방구석 #여행 #힐링 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : Lushfoil Photography Sim
※다운로드링크 : https://store.steampowered.com/app/1749860/Lushfoil_Photography_Sim/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-18T12:30:53Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/kgfeh4ri06I/hqdefault.jpg,237662,3536,13941.0,false,961000,654855265,1844,transcript_api,captions\kgfeh4ri06I.txt
UvHomEJY4gU,미스터리한 농장 실종사건을 조사하기 (공포게임/The Wellmonts Case),"#공포게임 
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : 
1. The Wellmonts Case
2. White Knuckle
※다운로드링크 : 
1. https://store.steampowered.com/app/3648410/The_Wellmonts_Case_Demo/
2. https://store.steampowered.com/app/3195790/White_Knuckle/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-05-06T13:05:09Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/UvHomEJY4gU/hqdefault.jpg,163902,2504,3545.0,false,961000,654855265,1844,transcript_api,captions\UvHomEJY4gU.txt
h4dQYLCwjtQ,자동차 부품을 파밍 하면서 모험 떠나는 게임 (Drive Beyond Horizons),"#자동차 #모험 #낭만
▼게임 다운로드 주소는 아래에 있습니다▼
※게임제목 : Drive Beyond Horizons
※다운로드링크 : https://store.steampowered.com/app/2625420/Drive_Beyond_Horizons/
※한글패치 링크 : 
----------
※아프리카TV 방송국: https://goo.gl/36YQW7
※구독하기 : https://goo.gl/hmGy4i
----------
아웃트로 노래
제목 : 똑똑
제작자 : 스미드
https://www.youtube.com/watch?v=cQ-_G2uUw48",2025-04-22T12:50:02Z,"수탉, 수탉tv, 공포, 공포게임, 실황, 신작, 게임",20,https://i.ytimg.com/vi/h4dQYLCwjtQ/hqdefault.jpg,314742,3515,11122.0,false,961000,654855265,1844,transcript_api,captions\h4dQYLCwjtQ.txt
3-Mebc8ixpY,사과 게임 처음 해보는 전무님,"사과 게임(フルーツボックス)
- 링크: https://www.gamesaien.com/game/fruit_box_a/

▶풀영상 보러가기
https://youtu.be/wc8CjVZDeQ8?si=kngceGJ2UapT3W_j
▶관련 재생목록
https://youtube.com/playlist?list=PLrTC7IMrpfqISgD9fFSAd5Cj4n7PZQtue&si=lX0QfHgSYEc91PfG

▶생방송 원본
  •2025년 2월 28일 2부 방송분: https://www.youtube.com/live/5WS157tMnZ0?si=XH57aXtzmyYy0G-M

▶출연: 김풍(@김풍천국미래전략실), 침착맨
▶편집: 11수자, 18수자
▶썸네일: 11수자

▶협업제안: info@chimchakman.com

#침착맨 #김풍 #사과게임 #전무님",2025-04-03T11:00:05Z,"침착맨, 이말년, 침투부",20,https://i.ytimg.com/vi/3-Mebc8ixpY/hqdefault.jpg,241243,2922,1486.0,false,796000,1491841603,2022,transcript_api,captions\3-Mebc8ixpY.txt
rfS4CbbjSmM,2년전 나를 오줌싸게만든 공포게임...신작이 나왔다고??? [해피힐 호미사이드2],"2년만의 신작
[업로드] 금,토,일,월 
[문의메일] zxcv34276@gmail.com
[인스타그램] @hxxax_
#혜안 #공포게임",2025-05-03T10:29:20Z,혜안,20,https://i.ytimg.com/vi/rfS4CbbjSmM/hqdefault.jpg,386663,8975,3922.0,false,2720000,2015966883,1707,transcript_api,captions\rfS4CbbjSmM.txt
7ABLKBZ2hhk,멈추지 않는 스팀할인!! 스팀 가성비 게임 대방출!! 최대 85%할인!! (5월 6일),"안녕하세요 오늘은 스팀 할인게임 영상입니다
유익한 게임이 있으셨다면 구독과 좋아요 부탁드립니다^^


00:00   인트로
00:14   나인 솔즈
01:20   퀀텀 브레이크
02:21   오리 앤 더 윌 오브 더 위스프
03:24   컵헤드
04:21   로스트 저지먼트 심판받지 않은 기억
05:28   리틀 나이트메어 투
06:24   엑시트 더 건전
07:27   성검전설 쓰리 트라이얼즈 오브 마나
08:33   비시즈
09:43   미아스마 크로니클
10:45   스원
11:47   니어 레플리칸트
12:42   기어스 택틱스
13:48   데드 스페이스
14:51   스틱맨 이세계 챌린지
15:50   페르소나 파이브 택티카
16:53   썸머빌
17:56   투포인트 호스피탈
18:57   인디비지블
20:04   진여신전생 파이브 벤전스
21:14   끝인사




1번 (00:14) 나인 솔즈 (Nine Sols)
https://store.steampowered.com/app/1809540/_/?l=korean

2번 (01:20) 퀀텀 브레이크 (Quantum Break)
https://store.steampowered.com/app/474960/Quantum_Break/?l=korean

3번 (02:21) 오리 앤 더 윌 오브 더 위스프 (Ori and the Will of the Wisps)
https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps/?l=korean

4번 (03:24) 컵헤드 (Cuphead)
https://store.steampowered.com/app/268910/Cuphead/?l=korean

5번 (04:21) 로스트 저지먼트 심판받지 않은 기억 (Lost Judgment)
https://store.steampowered.com/app/2058190/_/?l=korean

6번 (05:28) 리틀 나이트메어 투 (Little Nightmares II)
https://store.steampowered.com/app/860510/Little_Nightmares_II/?l=korean

7번 (06:24) 엑시트 더 건전 (Exit the Gungeon)
https://store.steampowered.com/app/1209490/Exit_the_Gungeon/?l=korean

8번 (07:27) 성검전설 쓰리 트라이얼즈 오브 마나 (Trials of Mana)
https://store.steampowered.com/app/924980/3_TRIALS_of_MANA/?l=korean

9번 (08:33) 비시즈 (Besiege)
https://store.steampowered.com/app/346010/Besiege/?l=korean

10번 (09:43) 미아스마 크로니클 (Miasma Chronicles)
https://store.steampowered.com/app/1649010/_Miasma_Chronicles/?l=korean

11번 (10:45) 스원 (SWORN)
https://store.steampowered.com/app/1763250/SWORN/?l=korean

12번 (11:47) 니어 레플리칸트 (NieR Replicant ver.1.22474487139...)
https://store.steampowered.com/app/1113560/NieR_Replicant_ver122474487139/?l=korean

13번 (12:42) 기어스 택틱스 (Gears Tactics)
https://store.steampowered.com/app/1184050/Gears_Tactics/?l=korean

14번 (13:48) 데드 스페이스 (Dead Space)
https://store.steampowered.com/app/1693980/Dead_Space/?l=korean

15번 (14:51) 스틱맨 이세계 챌린지 (Stickman Strikes Conquer Fantasy World)
https://store.steampowered.com/app/2924170/_/?l=korean

16번 (15:50) 페르소나 파이브 택티카 (Persona 5 Tactica)
https://store.steampowered.com/app/2254740/5/?l=korean

17번 (16:53) 썸머빌 (Somerville)
https://store.steampowered.com/app/1671410/Somerville/?l=korean

18번 (17:56) 투포인트 호스피탈 (Two Point Hospital)
https://store.steampowered.com/app/535930/Two_Point_Hospital/?l=korean

19번 (18:57) 인디비지블 (Indivisible)
https://store.steampowered.com/app/421170/Indivisible/?l=korean

20번 (20:04) 진여신전생 파이브 벤전스 (Shin Megami Tensei V Vengeance)
https://store.steampowered.com/app/1875830/5_Vengeance/?l=korean




#스팀게임할인 #스팀할인 #스팀게임",2025-05-06T03:09:11Z,"겜순이, 겜순이와 친구들, 스팀할인, 무료게임, 스팀게임 할인, 스팀게임 추천, 게임추천, 스팀게임, 무료 게임, 게임 할인",20,https://i.ytimg.com/vi/7ABLKBZ2hhk/hqdefault.jpg,8495,115,1327.0,true,8900,2646474,402,transcript_api,captions\7ABLKBZ2hhk.txt
KaUTuMCoiQM,실제로 소리 내면 쫓아오는 공포게임 ㄷㄷ,"#게임 #주둥이 #공포 

게임 이름 : the classrooms
원본 영상 : https://youtu.be/LkFLGVrq9Oc

요건 게임용 서브 채널이고 100만 넘는 본 채널이 있다구!
본 채널 : https://www.youtube.com/channel/UC9ta639M37zzWKwo7kKc80A",2024-08-03T14:01:19Z,"공포, 게임, the classrooms",20,https://i.ytimg.com/vi/KaUTuMCoiQM/hqdefault.jpg,1048850,11602,1698.0,false,56600,13589592,69,transcript_api,captions\KaUTuMCoiQM.txt
zmxvvFgZtY0,[로블록스] 더 재밌어진 오징어 게임2에 참가하세요!! 오징어 게임2 모음!! - 민또 경또 -,"✅민또 경또 구독하기 : https://www.youtube.com/channel/UCCW6uYIUP4YKKe50k-ktVAw?view_as=subscriber
☑️Squid Game Season 2 게임하기 : https://www.roblox.com/ko/games/18359542389
☑️The Squid Game 게임하기 : https://www.roblox.com/ko/games/7554194743
☑️Squid Game Tower 게임하기 : https://www.roblox.com/ko/games/103410145208388
🦑오징어 게임 시리즈 : https://www.youtube.com/playlist?list=PL-AahvgqNuE4tIpiG7RtIeV437jKNK_hp

#Roblox #로블록스 #민또경또",2025-02-07T09:01:16Z,"로블록스 공포게임, 로블록스 오필라버드, 로블록스 탈출게임 오비, 로블록스 타이쿤 게임, 로블록스 시뮬레이터 게임, 로블록스 인기 게임, 로블록스 점프맵, 로블록스 입양하세요, 로블록스 재밌는 게임, 로블록스 로벅스 무료, 로블록스 상황극, 로블록스 경찰과 도둑, 로블록스 방구, Roblox Sumo Simulator, Roblox Sled Obby, Roblox Color Match, 로블록스 색깔, 로블록스 수박 게임, Roblox Doodle Obby, Roblox Secret Staycation, 로블록스 시크릿 스테이케이션 크리스마스, 로블록스 비밀 정착소 크리스마스, roblox secret staycation christmas, 로블록스 오징어게임2, Roblox Squid Game Season2, Roblox Squid Game Tower, 로블록스 재밌는 게임 추천 2025, 로블록스 오징어 게임 타워",20,https://i.ytimg.com/vi/zmxvvFgZtY0/hqdefault.jpg,116931,663,4623.0,false,605000,878459762,1668,transcript_api,captions\zmxvvFgZtY0.txt
